mist_paper_id,full-text annotation,source,license,license/copyright notice,title,creators,journal,publisher
ACL_2020.acl-main.118,False,https://aclanthology.org/2020.acl-main.118,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,i{S}arcasm: A Dataset of Intended Sarcasm,"Silviu Oprea, Walid Magdy",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.12,False,https://aclanthology.org/2020.acl-main.12,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Zero-Shot Transfer Learning with Synthesized Data for Multi-Domain Dialogue State Tracking,"Giovanni Campagna, Agata Foryciarz, Mehrad Moradshahi, Monica Lam",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.121,False,https://aclanthology.org/2020.acl-main.121,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Attend, Translate and Summarize: An Efficient Method for Neural Cross-Lingual Summarization","Junnan Zhu, Yu Zhou, Jiajun Zhang, Chengqing Zong",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.139,False,https://aclanthology.org/2020.acl-main.139,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Named Entity Recognition without Labelled Data: A Weak Supervision Approach,"Pierre Lison, Jeremy Barnes, Aliaksandr Hubin, Samia Touileb",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.147,False,https://aclanthology.org/2020.acl-main.147,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Enhancing Machine Translation with Dependency-Aware Self-Attention,"Emanuele Bugliarello, Naoaki Okazaki",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.158,False,https://aclanthology.org/2020.acl-main.158,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,A Systematic Assessment of Syntactic Generalization in Neural Language Models,"Jennifer Hu, Jon Gauthier, Peng Qian, Ethan Wilcox, Roger Levy",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.177,False,https://aclanthology.org/2020.acl-main.177,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Probing Linguistic Systematicity,"Emily Goodwin, Koustuv Sinha, Timothy J. O{'}Donnell",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.217,False,https://aclanthology.org/2020.acl-main.217,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Phone Features Improve Speech Translation,"Elizabeth Salesky, Alan W Black",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.22,False,https://aclanthology.org/2020.acl-main.22,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Neural Syntactic Preordering for Controlled Paraphrase Generation,"Tanya Goyal, Greg Durrett",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.23,False,https://aclanthology.org/2020.acl-main.23,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Pre-train and Plug-in: Flexible Conditional Text Generation with Variational Auto-Encoders,"Yu Duan, Canwen Xu, Jiaxin Pei, Jialong Han, Chenliang Li",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.258,False,https://aclanthology.org/2020.acl-main.258,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Predicting Degrees of Technicality in Automatic Terminology Extraction,"Anna H{\""a}tty, Dominik Schlechtweg, Michael Dorna, Sabine Schulte im Walde",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.264,False,https://aclanthology.org/2020.acl-main.264,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Mitigating Gender Bias Amplification in Distribution by Posterior Regularization,"Shengyu Jia, Tao Meng, Jieyu Zhao, Kai-Wei Chang",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.311,False,https://aclanthology.org/2020.acl-main.311,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Roles and Utilization of Attention Heads in Transformer-based Neural Language Models,"Jae-young Jo, Sung-Hyon Myaeng",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.319,False,https://aclanthology.org/2020.acl-main.319,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,A Reinforced Generation of Adversarial Examples for Neural Machine Translation,"Wei Zou, Shujian Huang, Jun Xie, Xinyu Dai, Jiajun Chen",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.328,False,https://aclanthology.org/2020.acl-main.328,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,{C}hart{D}ialogs: {P}lotting from {N}atural {L}anguage {I}nstructions,"Yutong Shao, Ndapa Nakashole",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.33,False,https://aclanthology.org/2020.acl-main.33,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Text Classification with Negative Supervision,"Sora Ohashi, Junya Takayama, Tomoyuki Kajiwara, Chenhui Chu, Yuki Arase",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.337,False,https://aclanthology.org/2020.acl-main.337,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Investigating Word-Class Distributions in Word Vector Spaces,"Ryohei Sasano, Anna Korhonen",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.37,False,https://aclanthology.org/2020.acl-main.37,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Learning Source Phrase Representations for Neural Machine Translation,"Hongfei Xu, Josef van Genabith, Deyi Xiong, Qiuhui Liu, Jingyi Zhang",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.418,False,https://aclanthology.org/2020.acl-main.418,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Toward Gender-Inclusive Coreference Resolution,"Yang Trista Cao, Hal Daum{\'e} III",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.422,False,https://aclanthology.org/2020.acl-main.422,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Similarity Analysis of Contextual Word Representation Models,"John Wu, Yonatan Belinkov, Hassan Sajjad, Nadir Durrani, Fahim Dalvi, James Glass",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.439,False,https://aclanthology.org/2020.acl-main.439,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Pretraining with Contrastive Sentence Objectives Improves Discourse Performance of Language Models,"Dan Iter, Kelvin Guu, Larry Lansing, Dan Jurafsky",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.496,False,https://aclanthology.org/2020.acl-main.496,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Rationalizing Text Matching: {L}earning Sparse Alignments via Optimal Transport,"Kyle Swanson, Lili Yu, Tao Lei",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
ACL_2020.acl-main.500,False,https://aclanthology.org/2020.acl-main.500,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,On the Importance of Diversity in Question Generation for {QA},"Md Arafat Sultan, Shubham Chandel, Ram{\'o}n Fernandez Astudillo, Vittorio Castelli",Proceedings of the 58th Annual Meeting of the Association for Computational Linguistics,Association for Computational Linguistics
